City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,el alto,-4.2714,-81.2147,27.81,75,89,3.04,PE,1681256302
282,najran,17.4924,44.1277,22.36,42,67,1.18,SA,1681256302
283,evansville,37.9748,-87.5558,23.03,27,0,3.09,US,1681256278
284,saint anthony,45.0205,-93.218,26.96,24,0,7.72,US,1681256303
285,kumbo,6.2,10.6667,16.26,86,100,1.67,CM,1681256303
286,north bend,43.4065,-124.2243,12.91,66,0,6.69,US,1681256149
287,delta del tigre,-34.7633,-56.3853,23.83,68,75,2.64,UY,1681256303
288,leander,30.5788,-97.8531,23.38,52,40,3.13,US,1681256303
289,ixtapa,20.7,-105.2,26.24,73,20,6.17,MX,1681256303
290,sisimiut,66.9395,-53.6735,-5.79,88,10,2.83,GL,1681256303
291,marsa matruh,31.3525,27.2453,12.11,82,40,6.69,EG,1681256304
292,sakakah,29.9697,40.2064,17.76,61,70,5.88,SA,1681256304
293,sinnamary,5.3833,-52.95,26.67,81,99,4.99,GF,1681256304
294,comodoro rivadavia,-45.8667,-67.5,6.92,49,0,3.09,AR,1681256305
295,hambantota,6.1241,81.1185,22.96,87,15,2.4,LK,1681256305
296,porterville,36.0652,-119.0168,24.67,56,0,2.57,US,1681256305
297,general roca,-39.0333,-67.5833,16.46,49,20,7.15,AR,1681256306
298,nantucket,41.2835,-70.0995,13.41,74,0,9.26,US,1681256306
299,lewistown,40.5992,-77.5714,21.41,22,0,3.09,US,1681256299
300,crawfordsville,40.0411,-86.8745,23.62,28,20,5.14,US,1681256306
301,ust-omchug,61.15,149.6333,-13.89,79,71,2.13,RU,1681256306
302,padina,45.1181,20.7272,11.8,83,98,4.11,RS,1681256306
303,goma,-1.6792,29.2228,16.78,87,96,1.5,CD,1681256306
304,hirara,24.8,125.2833,22.92,100,40,3.6,JP,1681256307
305,praia da vitoria,38.7333,-27.0667,15.98,94,75,2.36,PT,1681256307
306,kurchum,48.5722,83.6542,1.6,97,96,4.29,KZ,1681256307
